SUMLEV,REGION,STATE,COUNTY,REGNAME,STNAME,CTYNAME,CENSUS2010HU,HUESTIMATESBASE2010,HUESTIMATE2010,HUESTIMATE2011,HUESTIMATE2012,HUESTIMATE2013,HUESTIMATE2014,HUESTIMATE2015,HUESTIMATE2016,HUESTIMATE2017,HUESTIMATE2018,HUESTIMATE2019,HUESTIMATE042020,HUESTIMATE2020
040,3,01,000,South Region,Alabama,Alabama,2171853,2171863,2174759,2181024,2191745,2203507,2213610,2225603,2238800,2254608,2270707,2284967,2298248,2302643
050,3,01,001,South Region,Alabama,Autauga County,22135,22134,22163,22339,22456,22820,22944,23081,23253,23461,23695,23900,24099,24165
050,3,01,003,South Region,Alabama,Baldwin County,104061,104060,104287,104911,105631,106739,108004,109312,111443,113951,116393,119392,121741,122518
050,3,01,005,South Region,Alabama,Barbour County,11829,11826,11830,11843,11908,11912,11923,11940,11967,12007,12053,12082,12111,12120
050,3,01,007,South Region,Alabama,Bibb County,8981,8982,8988,8995,9023,9048,9079,9112,9143,9194,9249,9289,9327,9340
050,3,01,009,South Region,Alabama,Blount County,23887,23886,23900,23933,23981,24020,24055,24100,24206,24317,24440,24519,24599,24625
050,3,01,011,South Region,Alabama,Bullock County,4493,4492,4494,4500,4510,4515,4522,4531,4544,4566,4591,4607,4620,4625
050,3,01,013,South Region,Alabama,Butler County,9964,9961,9964,9971,9992,10004,10013,10024,10042,10081,10121,10147,10170,10177
050,3,01,015,South Region,Alabama,Calhoun County,53289,53262,53302,53254,53322,53359,53390,53468,53522,53638,53753,53821,53905,53933
050,3,01,017,South Region,Alabama,Chambers County,17004,16988,16988,16982,16972,16964,16953,16949,16947,16968,16981,16992,17039,17055
050,3,01,019,South Region,Alabama,Cherokee County,16267,16266,16274,16280,16356,16383,16410,16437,16479,16550,16632,16684,16742,16761
050,3,01,021,South Region,Alabama,Chilton County,19278,19266,19279,19323,19374,19415,19461,19571,19641,19753,19897,20053,20131,20157
050,3,01,023,South Region,Alabama,Choctaw County,7269,7268,7272,7257,7273,7284,7296,7310,7331,7367,7406,7430,7452,7459
050,3,01,025,South Region,Alabama,Clarke County,12638,12640,12644,12647,12662,12673,12692,12711,12732,12773,12821,12850,12873,12881
050,3,01,027,South Region,Alabama,Clay County,6776,6775,6776,6779,6783,6784,6787,6790,6797,6814,6834,6846,6855,6858
050,3,01,029,South Region,Alabama,Cleburne County,6718,6718,6723,6738,6752,6761,6771,6783,6800,6828,6860,6880,6897,6903
050,3,01,031,South Region,Alabama,Coffee County,22330,22331,22371,22595,22805,22886,22962,23016,23076,23164,23291,23408,23642,23719
050,3,01,033,South Region,Alabama,Colbert County,25758,25764,25783,25846,25952,26089,26233,26349,26451,26580,26725,26863,26971,27007
050,3,01,035,South Region,Alabama,Conecuh County,7093,7094,7097,7102,7112,7117,7124,7135,7151,7177,7204,7219,7240,7247
050,3,01,037,South Region,Alabama,Coosa County,6478,6487,6490,6498,6510,6518,6528,6540,6556,6585,6618,6638,6655,6661
050,3,01,039,South Region,Alabama,Covington County,18829,18827,18833,18844,18870,18881,18904,18917,18941,18989,19043,19079,19150,19174
050,3,01,041,South Region,Alabama,Crenshaw County,6735,6729,6731,6735,6751,6758,6768,6777,6789,6816,6846,6865,6882,6887
050,3,01,043,South Region,Alabama,Cullman County,37054,37053,37074,37037,37149,37220,37324,37438,37569,37792,38034,38236,38483,38565
050,3,01,045,South Region,Alabama,Dale County,22677,22678,22706,22843,22882,22958,22982,23006,23034,23098,23165,23211,23260,23276
050,3,01,047,South Region,Alabama,Dallas County,20208,20205,20207,20246,20313,20300,20346,20354,20358,20388,20425,20445,20455,20459
050,3,01,049,South Region,Alabama,DeKalb County,31109,31100,31094,30886,30945,30984,31033,31094,31166,31281,31427,31568,31663,31694
050,3,01,051,South Region,Alabama,Elmore County,32657,32645,32682,32801,32976,33228,33506,33793,34002,34184,34355,34484,34585,34618
050,3,01,053,South Region,Alabama,Escambia County,16486,16489,16492,16496,16512,16513,16519,16546,16557,16593,16637,16659,16677,16683
050,3,01,055,South Region,Alabama,Etowah County,47454,47448,47464,47499,47551,47579,47582,47603,47641,47723,47824,47884,47912,47921
050,3,01,057,South Region,Alabama,Fayette County,8437,8437,8439,8434,8443,8445,8450,8453,8463,8484,8509,8520,8536,8542
050,3,01,059,South Region,Alabama,Franklin County,14022,14022,14026,13880,13917,13921,13956,13968,14012,14046,14083,14110,14129,14135
050,3,01,061,South Region,Alabama,Geneva County,12687,12685,12692,12713,12735,12745,12761,12777,12801,12850,12906,12943,12981,12994
