RegionID,SizeRank,RegionName,RegionType,StateName,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
102001,0,United States,Country,"",11716.6962,11116.1879,11117.2019,12131.3592,12618.9539,13199.9702,13498.0674,13482.4089,13092.1152,12439.4317,11908.4741,12396.5695,12193.1003,11397.1987,10968.2516,11903.3668,12056.8942,12751.1459,13144.3221,13282.5282,13068.8701,12405.5578,11853.0907,12287.3465,11576.9115,10976.1755,10316.2273,11580.581,13973.4551,12850.2176,10941.4432,11948.7488,13323.963,14467.7389,14569.2662,15342.1727,14925.7364,14235.5033,13862.7665,15424.7279,17257.9586,19403.1488,21863.3019,22323.6232,21470.6024,19478.5946
394913,1,"New York, NY",Msa,NY,25658.7368,25625.1278,25501.9211,28730.0389,30160.3943,31247.6105,30437.4118,30139.58,26441.1921,26524.9505,24782.0894,27231.3535,26005.9068,25040.7497,23921.6053,27525.0598,25693.1796,26322.4971,27273.6883,26331.2331,25832.8077,25340.0932,23074.4634,25930.0344,24553.0971,24861.0197,22994.8395,25788.0577,27532.8992,26469.8688,24632.1595,25116.0549,24532.2184,29126.7838,29732.1441,33670.3211,31552.8095,31869.1207,31868.8775,34805.0973,35991.5183,41126.7579,43249.4565,41301.8004,38982.8108,36493.1591
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,35748.094,38148.6359,32684.8869,43272.5998,38317.4987,43858.1091,42172.8964,39592.4476,38127.0832,35055.9506,30850.6325,34046.3044,34911.6471,32609.1202,31315.9277,34756.4751,34016.1136,37726.6112,37445.7176,39267.2348,38694.6753,38052.5999,36313.5017,39064.7838,38859.6571,41111.798,35451.4745,43213.754,54978.5764,47196.1049,33442.4683,36001.4843,43926.1588,51442.5044,55115.8909,53557.0398,48122.7205,51325.8517,49923.2945,58416.8964,63028.439,69214.0173,73024.6293,71455.4434,67333.7975,60691.1516
394463,3,"Chicago, IL",Msa,IL,10318.6589,9490.9869,8998.9902,10275.6552,11928.7715,12129.464,12826.4672,12353.0688,11679.3703,10889.6539,10271.5349,10836.7099,9909.7525,9105.1458,8302.56,10546.6457,10741.2695,11465.0391,12498.2389,11835.8149,11525.7606,10688.9147,9762.7699,10362.3281,9967.2331,8873.1245,7922.0395,9580.2797,12248.7223,10805.3775,9696.9336,9991.6022,11518.1044,12455.1946,12041.3678,11975.8523,11414.5099,10129.3729,10069.92,11543.3713,12769.9024,14289.0637,15514.9446,15681.8486,14616.1102,13483.9815
394514,4,"Dallas-Fort Worth, TX",Msa,TX,9865.3714,9395.6036,8531.1814,10869.2226,11524.6235,11654.3036,12035.8181,11817.7505,10257.3897,9672.0649,8674.3221,9269.5409,9687.2592,9139.2547,8520.3401,8818.1722,9832.7198,10238.3441,10715.5465,10105.5703,9421.1152,9096.5327,9230.6268,9264.4859,9008.183,8676.0059,7815.5947,8427.6331,9454.6944,9595.4127,7983.7091,8884.1349,10102.172,10329.8298,10165.1148,10873.5779,12344.4821,11027.4929,11651.2251,12239.148,13316.3804,15556.2086,17463.7812,18895.7427,17763.1939,14863.3516
394974,5,"Philadelphia, PA",Msa,PA,10446.8374,9597.9896,9807.833,9892.4788,10478.4013,10812.6503,10395.3185,12778.7,12404.3653,10746.593,10305.2247,11547.0244,10960.4134,10140.6476,10095.8747,10132.765,10144.3988,10852.3905,11744.0663,12372.975,11762.2226,10680.2744,10633.369,11310.1676,10877.6216,10249.6431,9548.6329,10938.3675,14173.2974,11782.6837,11124.8611,10481.1645,12453.2615,13437.5305,13505.4138,13796.6297,13045.0879,12755.559,13080.6327,12620.0385,13040.5224,13661.0394,15676.2647,16670.0482,15784.7572,14358.7182
394692,6,"Houston, TX",Msa,TX,12537.6257,11970.5699,12421.7197,12979.8453,12777.2276,13067.6771,13216.0971,12783.839,12183.9197,11688.1143,11094.4757,12053.1167,11571.3355,11522.391,10831.805,11876.7377,11529.0836,11498.3245,12156.3502,11706.799,11372.4572,10427.1001,10238.5983,9878.0255,9853.9827,10339.0883,9342.7959,9832.8351,12238.0542,11163.9039,10878.3034,10728.0821,11765.4486,11767.9044,11227.328,12009.6469,12772.5765,11982.3891,11940.7833,12608.9449,12313.304,14824.0668,16363.4837,17842.6452,17815.0697,14773.4854
395209,7,"Washington, DC",Msa,DC,15351.5535,15435.7698,15755.0577,16949.81,16517.1767,16150.7332,16523.8576,17215.7965,16183.7224,14626.8041,13421.8803,14644.8529,15306.8345,15076.044,14993.3027,15270.9914,16630.6182,17762.4401,17496.1134,16808.4327,15951.2638,14925.8964,13653.0953,16019.7832,16404.8356,14830.3324,14940.3556,18034.7811,21186.0689,18405.7655,16067.5359,15828.6203,19385.3359,20999.0444,20561.7594,20426.9278,17280.1081,16359.913,16751.4581,20189.9838,19814.1564,20057.6705,24287.9281,21667.7352,21380.7337,18703.1938
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,20070.1947,19764.8518,20891.0848,22462.0673,22220.9608,21982.3312,21344.4538,21474.2376,19188.7613,16688.5854,16270.9158,16845.1436,16963.4151,17154.1685,19546.8393,20888.2248,19760.4652,20477.1058,19297.8607,18874.5269,18359.9763,17361.2437,16546.2311,17942.0156,18041.9906,18593.9279,19679.7398,22429.769,26163.9353,22230.6395,16620.7424,17679.3672,19073.8414,20421.8126,22800.409,21800.937,23614.6587,22423.0738,22390.4596,29340.3074,26085.6193,31591.8342,33021.7181,35991.6266,34105.568,31541.46
394347,9,"Atlanta, GA",Msa,GA,10057.6547,10093.5571,8973.3142,11605.4963,11130.542,12682.2206,11989.1367,12015.8994,11746.7902,10467.459,10097.1726,10034.3471,9946.3268,9051.0023,8335.1414,8909.8513,9242.0815,9609.1769,9849.4673,10187.3528,9800.1424,9789.365,9208.5527,8963.1133,8608.9937,7795.4833,7931.8314,8567.5981,10485.1641,10493.4965,9245.0221,9849.5327,10484.9385,11656.7691,11102.1392,12390.5675,12281.4382,13137.3068,11542.4425,13783.5868,15118.1302,17832.0189,18577.2875,19512.9164,19520.4563,17741.4665
