RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08
102001,United States,0,1325,1331,1336,1342,1347,1353,1358,1364,1369,1375,1380,1386,1391,1397,1402,1407,1413,1418,1423,1428,1434,1439,1444,1449,1454,1458,1462,1467,1471,1475,1479,1483,1487,1491,1495,1499,1502,1507,1511,1515,1519,1523,1527,1531,1536,1540,1544,1548,1552,1557,1561,1566,1571,1576,1580,1585,1590,1595,1600,1605,1610,1615,1619,1624,1629,1633,1638,1642,1646,1650,1652,1655,1657,1657,1658,1659,1660,1660,1661,1664,1667,1670,1680,1691,1702,1713,1725,1737,1749,1762,1774,1787
394913,"New York, NY",1,2235,2245,2255,2265,2275,2285,2295,2305,2315,2325,2334,2344,2353,2362,2371,2380,2388,2397,2405,2412,2420,2427,2432,2438,2443,2447,2452,2456,2460,2463,2467,2470,2474,2477,2481,2484,2488,2492,2495,2499,2502,2505,2508,2511,2513,2516,2518,2521,2523,2526,2529,2532,2536,2540,2544,2549,2554,2559,2565,2570,2576,2581,2586,2591,2596,2601,2606,2609,2612,2616,2613,2610,2607,2594,2582,2569,2551,2532,2514,2497,2480,2463,2464,2464,2465,2468,2471,2474,2480,2485,2491,2498
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1749,1760,1770,1781,1791,1802,1812,1823,1833,1844,1855,1865,1876,1886,1896,1906,1917,1927,1937,1948,1959,1970,1981,1991,2002,2012,2023,2033,2042,2052,2061,2070,2079,2089,2098,2107,2116,2125,2134,2143,2152,2160,2169,2177,2185,2192,2200,2207,2215,2222,2230,2238,2246,2254,2262,2270,2278,2286,2293,2301,2308,2315,2322,2329,2336,2343,2349,2354,2360,2365,2367,2368,2370,2369,2368,2366,2365,2363,2361,2362,2362,2363,2373,2384,2394,2406,2418,2430,2443,2456,2469,2483
394463,"Chicago, IL",3,1434,1437,1441,1445,1449,1452,1456,1460,1463,1467,1470,1474,1477,1481,1485,1488,1492,1496,1500,1505,1509,1514,1519,1524,1529,1532,1536,1540,1543,1546,1549,1551,1554,1557,1560,1562,1565,1567,1570,1572,1575,1578,1581,1583,1586,1589,1591,1594,1596,1599,1601,1604,1606,1609,1612,1615,1618,1621,1625,1628,1631,1635,1639,1643,1646,1650,1654,1657,1660,1664,1665,1665,1666,1665,1663,1661,1658,1655,1651,1649,1646,1644,1647,1651,1655,1659,1664,1668,1673,1678,1683,1689
394514,"Dallas-Fort Worth, TX",4,1130,1134,1137,1141,1145,1148,1152,1156,1159,1163,1167,1171,1175,1180,1185,1189,1194,1198,1203,1208,1212,1217,1222,1227,1232,1237,1242,1247,1252,1257,1263,1268,1273,1278,1282,1287,1291,1295,1300,1304,1308,1313,1317,1321,1325,1329,1333,1336,1340,1343,1347,1350,1354,1358,1362,1366,1370,1374,1379,1383,1387,1392,1396,1400,1404,1408,1412,1415,1418,1422,1423,1425,1427,1429,1430,1431,1434,1436,1438,1443,1448,1452,1465,1477,1490,1503,1517,1530,1544,1558,1572,1587
394974,"Philadelphia, PA",5,1341,1344,1346,1349,1352,1355,1357,1360,1363,1366,1369,1372,1375,1378,1381,1384,1387,1390,1394,1397,1401,1405,1408,1412,1415,1419,1422,1425,1428,1431,1434,1437,1440,1443,1445,1448,1450,1453,1455,1458,1461,1464,1467,1470,1473,1476,1479,1482,1486,1489,1493,1497,1501,1505,1509,1513,1517,1521,1525,1530,1534,1538,1542,1546,1550,1554,1558,1562,1565,1569,1571,1574,1576,1578,1580,1582,1584,1586,1588,1591,1594,1598,1605,1612,1619,1626,1634,1642,1650,1658,1666,1674
394692,"Houston, TX",6,1175,1181,1188,1195,1202,1208,1215,1221,1227,1234,1239,1244,1250,1253,1257,1261,1263,1266,1269,1272,1274,1277,1278,1279,1281,1281,1281,1281,1281,1280,1280,1279,1279,1278,1278,1277,1277,1278,1279,1281,1283,1286,1289,1293,1297,1301,1306,1310,1314,1317,1321,1324,1327,1329,1331,1333,1335,1336,1338,1340,1342,1344,1345,1347,1349,1351,1353,1355,1357,1359,1359,1359,1359,1359,1358,1358,1358,1358,1358,1359,1361,1362,1369,1377,1384,1393,1401,1410,1419,1428,1437,1446
395209,"Washington, DC",7,1785,1788,1791,1794,1796,1799,1802,1805,1807,1810,1812,1815,1817,1819,1821,1823,1825,1828,1830,1834,1837,1840,1843,1846,1849,1851,1854,1856,1858,1860,1863,1865,1867,1870,1873,1876,1879,1882,1885,1888,1890,1893,1895,1897,1899,1901,1904,1906,1909,1912,1915,1919,1923,1927,1932,1937,1942,1947,1952,1957,1962,1966,1971,1976,1980,1985,1989,1992,1996,1999,1999,2000,2000,1997,1994,1991,1986,1980,1975,1971,1966,1962,1966,1970,1974,1979,1984,1990,1996,2002,2008,2016
394856,"Miami-Fort Lauderdale, FL",8,1532,1540,1547,1555,1563,1570,1578,1586,1593,1601,1609,1616,1624,1632,1640,1647,1655,1663,1671,1678,1686,1693,1700,1706,1712,1717,1722,1726,1730,1733,1736,1739,1742,1744,1747,1750,1752,1756,1759,1762,1766,1770,1774,1777,1781,1785,1789,1793,1797,1801,1805,1809,1814,1818,1823,1827,1832,1836,1840,1844,1848,1852,1856,1859,1864,1868,1872,1876,1881,1885,1888,1891,1894,1897,1899,1902,1906,1910,1913,1922,1930,1939,1962,1985,2007,2032,2057,2081,2107,2133,2159,2186
394347,"Atlanta, GA",9,1082,1086,1089,1093,1097,1101,1105,1109,1113,1118,1122,1127,1131,1136,1141,1146,1151,1156,1161,1167,1172,1177,1183,1188,1194,1200,1206,1212,1218,1224,1230,1236,1241,1247,1253,1258,1264,1270,1275,1281,1287,1293,1299,1305,1311,1317,1323,1329,1335,1341,1347,1353,1360,1367,1374,1381,1388,1395,1402,1409,1416,1423,1429,1435,1441,1447,1452,1457,1462,1467,1470,1474,1478,1482,1486,1490,1497,1503,1510,1520,1531,1541,1560,1580,1599,1620,1640,1661,1683,1704,1725,1747
