RegionID,RegionName,SizeRank,MsaName,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08
61639,10025,1,"New York, NY",2821,2749,2831,2852,2843,2850,2898,2921,2903,2935,2931,2971,2987,2969,2970,2972,2991,3014,3024,3025,3034,3041,3023,3025,3045,3029,3051,3055,3055,3075,3014,3054,3086,3051,3030,3016,3022,3005,2971,3017,3079,3081,3087,3095,3066,3032,3021,3055,3012,3008,2992,3045,3079,3085,3102,3095,3081,3078,3077,3095,3109,3094,3097,3109,3130,3165,3184,3205,3200,3133,3161,3142,3159,3188,3138,3140,3111,3049,2987,2882,2764,2732,2703,2675,2711,2684,2747,2806,2888,2949,3031,3100
84654,60657,2,"Chicago, IL",1284,1313,1313,1321,1336,1367,1368,1369,1356,1348,1343,1344,1343,1353,1347,1372,1396,1414,1420,1428,1402,1390,1385,1391,1381,1397,1416,1432,1447,1460,1466,1469,1457,1434,1419,1417,1430,1449,1466,1472,1480,1490,1495,1486,1474,1457,1448,1439,1450,1465,1477,1490,1502,1509,1508,1490,1481,1454,1437,1433,1461,1475,1493,1512,1523,1531,1539,1522,1523,1500,1490,1482,1518,1531,1538,1541,1534,1526,1519,1511,1475,1439,1441,1453,1469,1481,1485,1488,1503,1510,1514,1531
61637,10023,3,"New York, NY",3019,3040,3078,3069,3087,3146,3136,3140,3140,3119,3186,3142,3122,3144,3179,3151,3168,3193,3190,3212,3221,3226,3225,3205,3178,3214,3230,3238,3247,3243,3073,3144,3178,3207,3154,3154,3136,3188,3194,3247,3241,3261,3260,3239,3212,3210,3188,3154,3172,3187,3207,3232,3259,3257,3232,3253,3265,3250,3227,3198,3192,3204,3224,3269,3294,3328,3333,3325,3335,3273,3225,3252,3296,3317,3329,3313,3263,3219,3146,3009,2971,2894,2807,2766,2796,2840,2872,2948,2999,3090,3189,3269
91982,77494,4,"Houston, TX",1397,1458,1465,1473,1447,1436,1440,1433,1431,1412,1410,1403,1409,1401,1406,1414,1417,1425,1430,1441,1423,1410,1406,1390,1385,1381,1383,1380,1378,1384,1376,1374,1363,1352,1325,1322,1330,1342,1347,1362,1365,1370,1360,1349,1361,1371,1378,1383,1391,1393,1387,1392,1393,1397,1394,1390,1377,1383,1385,1390,1391,1392,1399,1403,1402,1410,1413,1424,1403,1412,1411,1419,1412,1423,1420,1426,1412,1413,1422,1427,1438,1425,1444,1443,1439,1439,1444,1468,1499,1564,1608,1626
84616,60614,5,"Chicago, IL",1574,1599,1609,1622,1642,1658,1678,1675,1658,1647,1650,1623,1623,1636,1623,1670,1700,1727,1739,1751,1736,1733,1701,1680,1711,1733,1741,1755,1787,1808,1809,1808,1798,1755,1735,1731,1728,1763,1781,1809,1822,1826,1824,1828,1821,1785,1770,1769,1780,1808,1836,1833,1850,1858,1856,1847,1827,1790,1778,1784,1816,1841,1856,1876,1895,1895,1895,1899,1893,1873,1848,1865,1862,1886,1906,1929,1923,1907,1896,1874,1829,1777,1710,1688,1728,1783,1824,1871,1895,1915,1918,1955
91940,77449,6,"Houston, TX",1164,1159,1162,1154,1162,1175,1186,1196,1192,1194,1205,1208,1194,1197,1201,1212,1214,1228,1237,1240,1239,1239,1240,1239,1231,1232,1242,1245,1250,1242,1241,1245,1242,1244,1237,1226,1226,1231,1236,1240,1243,1241,1251,1250,1260,1262,1267,1268,1275,1279,1281,1289,1293,1298,1305,1306,1299,1301,1305,1296,1291,1295,1298,1302,1311,1315,1322,1317,1319,1317,1315,1315,1321,1320,1333,1338,1322,1337,1349,1357,1368,1372,1379,1401,1401,1420,1434,1452,1481,1517,1553,1579
61616,10002,7,"New York, NY",2903,2799,2865,2890,2933,2940,2993,3004,3011,2984,2997,3069,3054,3023,3042,3118,3118,3117,3148,3167,3156,3132,3086,3095,3084,3102,3125,3137,3159,3203,3231,3236,3219,3235,3193,3231,3173,3204,3204,3198,3222,3233,3241,3246,3224,3183,3150,3145,3176,3210,3232,3261,3274,3288,3314,3318,3296,3276,3247,3253,3237,3255,3267,3301,3332,3361,3379,3400,3424,3401,3334,3352,3351,3398,3416,3407,3345,3269,3181,3057,2911,2797,2750,2731,2728,2748,2789,2898,3023,3114,3275,3373
91733,77084,8,"Houston, TX",1048,1123,1126,1113,1129,1150,1118,1145,1163,1165,1177,1165,1162,1168,1180,1185,1179,1186,1190,1198,1208,1201,1208,1204,1199,1203,1202,1204,1205,1200,1204,1212,1202,1199,1201,1199,1199,1192,1201,1209,1211,1215,1220,1218,1246,1256,1256,1246,1245,1246,1235,1254,1255,1259,1258,1264,1292,1276,1286,1278,1271,1257,1280,1288,1302,1297,1301,1299,1289,1293,1289,1299,1292,1311,1317,1322,1322,1326,1323,1331,1341,1318,1328,1341,1354,1354,1371,1382,1403,1437,1484,1508
93144,79936,9,"El Paso, TX",975,963,968,979,974,972,926,947,957,959,956,966,964,966,969,971,979,975,966,968,973,974,971,967,966,982,976,977,975,975,968,985,971,972,998,1053,1045,1005,988,982,982,980,984,980,982,979,979,981,976,975,974,978,984,989,992,992,997,970,986,1002,997,976,989,998,1008,1010,991,1012,1017,1025,1019,1029,1034,1038,1031,1040,1040,1044,1056,1072,1067,1081,1080,1089,1083,1090,1099,1116,1129,1124,1152,1167
84640,60640,10,"Chicago, IL",1155,1168,1157,1154,1161,1169,1177,1184,1178,1174,1169,1183,1173,1174,1157,1178,1195,1211,1229,1238,1237,1224,1225,1230,1227,1218,1226,1243,1245,1257,1268,1282,1278,1270,1251,1254,1246,1251,1272,1278,1289,1297,1298,1297,1290,1281,1276,1270,1272,1276,1297,1305,1308,1320,1319,1312,1330,1314,1314,1308,1309,1314,1321,1332,1336,1344,1355,1352,1358,1341,1340,1333,1332,1349,1331,1337,1352,1351,1335,1337,1325,1309,1316,1305,1304,1278,1291,1303,1318,1339,1336,1349
62037,11226,11,"New York, NY",1797,1778,1777,1751,1750,1748,1806,1807,1762,1772,1800,1747,1771,1815,1861,1872,1884,1896,1906,1903,1952,1981,1944,1926,1958,1961,1953,1973,2005,2034,2058,2061,2044,2018,2045,2034,2032,2027,2043,2037,2056,2047,2080,2082,2075,2033,2027,2028,2018,2041,2054,2090,2108,2119,2135,2154,2146,2120,2122,2103,2092,2084,2125,2113,2151,2155,2164,2182,2178,2160,2137,2136,2154,2136,2218,2185,2181,2182,2168,2139,2103,2079,2040,1999,1987,1999,2019,2039,2062,2080,2131,2140
92593,78660,13,"Austin, TX",1081,1107,1085,1099,1102,1104,1110,1116,1124,1117,1115,1111,1130,1139,1125,1136,1155,1164,1176,1181,1182,1173,1179,1181,1187,1178,1188,1196,1205,1219,1225,1221,1215,1225,1224,1203,1200,1206,1213,1226,1222,1231,1227,1230,1232,1239,1235,1230,1224,1237,1239,1245,1253,1263,1261,1265,1268,1268,1278,1273,1271,1267,1270,1277,1284,1289,1299,1303,1306,1305,1302,1308,1308,1315,1324,1322,1292,1300,1317,1349,1344,1342,1334,1337,1333,1324,1349,1368,1418,1520,1567,1616
97564,94109,14,"San Francisco, CA",2423,2383,2518,2473,2560,2661,2646,2735,2804,2864,2944,2867,2929,2974,3109,3030,3065,3126,3194,3275,3249,3237,3255,3233,3288,3280,3197,3171,3180,3165,3172,3151,3097,3054,3025,2970,3011,3109,3089,3082,3104,3105,3159,3121,3173,3121,3086,3112,3122,3080,3098,3138,3115,3131,3156,3164,3182,3180,3159,3146,3168,3167,3188,3210,3220,3252,3282,3269,3258,3227,3186,3198,3192,3200,3221,3149,3127,3083,3020,2928,2801,2766,2712,2641,2636,2604,2624,2705,2726,2766,2810,2835
61630,10016,16,"New York, NY",3265,3177,3246,3256,3296,3291,3327,3354,3370,3350,3352,3340,3367,3361,3398,3426,3454,3489,3491,3486,3493,3499,3468,3438,3453,3453,3447,3468,3496,3513,3470,3496,3500,3483,3427,3395,3402,3403,3426,3460,3481,3478,3507,3507,3485,3489,3426,3400,3416,3412,3430,3446,3493,3524,3545,3565,3566,3554,3528,3502,3481,3526,3543,3570,3590,3633,3648,3646,3644,3625,3601,3572,3589,3611,3608,3575,3540,3483,3415,3260,3147,3057,2925,2906,2923,2935,2995,3086,3192,3334,3470,3602
74101,37013,17,"Nashville, TN",1106,1112,1104,1122,1137,1150,1159,1180,1192,1191,1197,1189,1164,1170,1201,1206,1209,1230,1242,1273,1284,1264,1275,1282,1259,1263,1277,1296,1314,1319,1321,1326,1317,1343,1329,1329,1340,1339,1333,1349,1379,1383,1387,1384,1379,1380,1384,1378,1377,1391,1408,1430,1435,1418,1415,1432,1431,1421,1413,1418,1427,1490,1470,1463,1458,1463,1471,1489,1486,1481,1491,1492,1495,1461,1496,1523,1532,1533,1548,1571,1573,1581,1600,1592,1570,1598,1606,1624,1647,1663,1712,1739
84646,60647,19,"Chicago, IL",1361,1324,1352,1357,1374,1383,1394,1416,1408,1393,1372,1409,1392,1409,1375,1423,1456,1466,1482,1500,1476,1468,1459,1453,1481,1497,1505,1523,1537,1547,1557,1548,1525,1503,1486,1487,1501,1515,1537,1554,1572,1582,1581,1571,1563,1561,1553,1521,1527,1551,1575,1596,1610,1626,1629,1637,1607,1583,1576,1582,1617,1620,1636,1655,1661,1664,1674,1665,1677,1667,1652,1652,1659,1679,1692,1671,1676,1671,1660,1642,1624,1588,1579,1630,1640,1642,1643,1643,1654,1665,1661,1658
62012,11201,20,"New York, NY",2826,2925,2902,2881,2896,2906,2928,2959,2965,2970,2962,2934,2936,2962,2963,2957,2988,2993,3021,3049,3056,3070,3028,3028,3037,3024,3052,3038,3050,3089,3069,3091,3082,3119,3085,3038,3009,3024,3044,3083,3083,3091,3121,3129,3119,3096,3044,3016,3045,3043,3069,3103,3107,3146,3167,3188,3202,3187,3184,3178,3178,3214,3215,3224,3260,3266,3303,3305,3314,3281,3266,3268,3307,3336,3354,3324,3258,3219,3158,3067,3000,2948,2944,2945,2970,3007,3058,3097,3168,3258,3341,3393
62087,11375,22,"New York, NY",1720,1657,1717,1731,1744,1773,1768,1796,1833,1851,1827,1839,1840,1854,1854,1840,1842,1879,1911,1921,1952,1971,1969,1947,1936,1954,1943,1977,1998,1997,2015,1964,2002,1996,2005,2041,2029,2013,2031,2010,2006,1999,2018,2022,2023,2020,2005,2014,2009,2031,2059,2056,2042,2034,2036,2037,2028,2054,2053,2066,2111,2087,2090,2070,2086,2121,2155,2116,2129,2152,2154,2122,2136,2152,2168,2129,2122,2116,2121,2112,2073,2043,2038,2030,2012,2075,2055,2055,2065,2067,2081,2089
96107,90250,23,"Los Angeles-Long Beach-Anaheim, CA",1052,1079,1073,1086,1098,1077,1071,1081,1088,1099,1097,1094,1096,1117,1133,1133,1130,1129,1163,1166,1170,1193,1216,1194,1210,1220,1239,1235,1234,1254,1284,1303,1316,1320,1328,1335,1357,1364,1375,1389,1413,1408,1424,1432,1438,1416,1438,1442,1448,1454,1470,1466,1482,1499,1520,1530,1527,1526,1531,1527,1542,1547,1561,1579,1587,1577,1591,1594,1616,1612,1610,1628,1605,1623,1626,1629,1613,1633,1645,1645,1646,1650,1671,1675,1645,1675,1682,1676,1705,1682,1720,1725
92271,78130,24,"San Antonio, TX",1066,1045,1040,1045,1096,1086,1089,1087,1137,1189,1132,1120,1111,1112,1095,1107,1114,1150,1131,1119,1123,1126,1117,1115,1126,1123,1126,1128,1137,1131,1135,1129,1127,1130,1136,1131,1130,1128,1138,1149,1162,1157,1156,1130,1120,1142,1146,1148,1150,1153,1151,1162,1161,1166,1159,1162,1170,1164,1150,1154,1165,1177,1185,1189,1190,1194,1197,1190,1186,1191,1201,1212,1213,1223,1223,1200,1184,1187,1194,1192,1180,1201,1212,1221,1218,1154,1165,1214,1273,1328,1398,1432
74242,37211,25,"Nashville, TN",931,1007,951,952,956,973,968,966,1004,1003,1006,1022,1034,1028,1030,1042,1035,1057,1077,1099,1073,1082,1086,1076,1089,1098,1130,1101,1111,1110,1119,1137,1162,1137,1134,1123,1120,1113,1119,1138,1156,1167,1164,1167,1163,1157,1158,1178,1164,1157,1168,1176,1178,1192,1184,1185,1190,1184,1175,1186,1183,1183,1199,1209,1204,1227,1237,1233,1236,1234,1229,1239,1246,1247,1243,1227,1225,1232,1239,1249,1254,1272,1242,1254,1256,1247,1249,1274,1296,1320,1356,1421
61643,10029,26,"New York, NY",2046,2118,2085,2131,2178,2212,2245,2254,2287,2284,2291,2301,2282,2322,2324,2331,2341,2358,2411,2403,2385,2366,2351,2339,2339,2347,2360,2378,2376,2386,2422,2434,2433,2431,2400,2372,2441,2459,2421,2425,2447,2501,2517,2532,2517,2492,2480,2452,2464,2488,2494,2513,2531,2537,2539,2553,2529,2523,2505,2506,2498,2529,2540,2572,2585,2592,2612,2609,2612,2547,2500,2517,2522,2569,2591,2615,2586,2539,2503,2436,2359,2288,2218,2171,2174,2164,2198,2221,2271,2308,2369,2411
61623,10009,27,"New York, NY",2766,2514,2655,2755,2824,2863,2867,2901,2918,2903,2882,2952,2903,2922,2933,2998,2998,2996,3020,3028,3010,2997,2981,2979,2973,2989,3010,3049,3077,3098,3085,3109,3080,3061,3043,3007,3027,3024,3066,3088,3113,3117,3129,3126,3087,3086,3020,3004,3013,3030,3061,3110,3137,3149,3167,3179,3171,3160,3102,3073,3083,3104,3135,3170,3230,3244,3281,3288,3258,3234,3151,3182,3230,3255,3262,3284,3227,3191,3088,2959,2786,2672,2610,2559,2549,2590,2636,2752,2870,3037,3195,3278
92036,77573,28,"Houston, TX",,1156,1227,1185,1194,1230,1259,1261,1255,1296,1288,1283,1278,1277,1289,1295,1306,1300,1308,1327,1323,1320,1321,1303,1312,1324,1331,1330,1345,1345,1342,1341,1348,1343,1324,1328,1337,1334,1346,1338,1351,1364,1358,1351,1380,1374,1366,1368,1378,1371,1378,1385,1393,1395,1413,1402,1396,1400,1410,1416,1413,1422,1417,1407,1409,1414,1422,1422,1412,1415,1396,1419,1427,1424,1420,1414,1424,1432,1431,1443,1431,1444,1434,1424,1435,1444,1449,1451,1469,1519,1553,1580
84620,60618,29,"Chicago, IL",1261,1214,1254,1265,1272,1284,1301,1316,1309,1306,1294,1289,1294,1318,1280,1286,1315,1338,1360,1368,1366,1356,1348,1344,1357,1369,1372,1381,1390,1404,1405,1405,1409,1393,1388,1386,1403,1397,1410,1419,1432,1440,1435,1431,1422,1406,1401,1406,1420,1424,1443,1463,1468,1466,1470,1474,1452,1452,1442,1429,1448,1470,1475,1494,1499,1513,1514,1502,1491,1489,1497,1496,1501,1524,1533,1516,1525,1516,1516,1505,1482,1468,1435,1455,1473,1494,1510,1520,1520,1535,1542,1531
92045,77584,30,"Houston, TX",1341,1273,1272,1251,1273,1269,1302,1319,1321,1322,1329,1290,1322,1315,1345,1348,1355,1370,1366,1370,1366,1381,1365,1366,1356,1355,1364,1341,1375,1391,1377,1373,1367,1365,1352,1352,1351,1356,1356,1360,1365,1363,1359,1361,1364,1360,1367,1382,1382,1385,1396,1400,1401,1398,1388,1366,1356,1366,1364,1363,1357,1375,1396,1400,1399,1415,1418,1422,1423,1446,1427,1416,1424,1429,1421,1414,1405,1416,1417,1428,1434,1434,1417,1394,1405,1413,1437,1470,1510,1543,1596,1627
61625,10011,31,"New York, NY",3182,3271,3254,3254,3315,3302,3337,3372,3396,3390,3369,3353,3379,3385,3406,3447,3459,3478,3495,3518,3504,3528,3503,3514,3513,3514,3512,3522,3545,3555,3535,3554,3565,3516,3466,3444,3460,3476,3509,3533,3560,3566,3570,3564,3551,3527,3472,3465,3464,3468,3521,3562,3586,3615,3625,3635,3642,3623,3585,3572,3564,3604,3610,3635,3657,3694,3726,3743,3700,3638,3603,3602,3634,3675,3699,3618,3594,3548,3467,3320,3202,3092,3017,3022,3039,3058,3133,3219,3333,3445,3615,3721
66126,20002,32,"Washington, DC",1883,1856,1917,1852,1803,1948,1970,1929,1963,1884,1869,1813,1857,1901,1865,1901,1889,1926,1932,1942,1942,1916,2083,2018,2018,2037,1986,2015,2016,2077,2103,2082,2048,2085,2073,2027,2065,2037,2039,2084,2099,2114,2102,2113,2130,2097,2089,2103,2070,2067,2048,2085,2119,2166,2198,2199,2197,2195,2203,2207,2226,2209,2199,2224,2227,2223,2231,2262,2278,2278,2276,2295,2286,2262,2270,2265,2250,2252,2240,2188,2133,2145,2079,2049,2060,2079,2072,2106,2175,2233,2294,2324
